Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
-180.0,-85.0,60.398999999999994,56.503,60.398999999999994,3.8960000000000004
-174.28599999999997,-85.0,57.989,55.352,57.989,2.637
-168.571,-85.0,59.997,59.997,62.123000000000005,2.126
-162.857,-85.0,72.222,63.437,72.222,8.785
-157.143,-85.0,67.48100000000001,66.95100000000001,70.001,3.05
-151.429,-85.0,58.949,56.632,65.008,8.376
-145.714,-85.0,62.6,56.728,62.6,5.872000000000001
-140.0,-85.0,65.1,60.285,65.938,5.653
-134.286,-85.0,69.293,66.55,74.043,7.492999999999999
-128.571,-85.0,61.38399999999999,59.004,69.172,10.168
-122.85700000000001,-85.0,58.175,58.175,59.778999999999996,1.604
-117.14299999999999,-85.0,62.505,59.839,63.698,3.859
-111.429,-85.0,65.16,60.408,65.16,4.752
-105.714,-85.0,60.525,59.994,66.433,6.439
-100.0,-85.0,57.2,57.2,65.47800000000001,8.277999999999999
-94.286,-85.0,66.544,66.173,72.85300000000001,6.68
-88.571,-85.0,65.171,64.531,70.068,5.537000000000001
-82.85700000000001,-85.0,66.258,66.258,71.737,5.479
-77.143,-85.0,62.269,62.045,69.357,7.312
-71.429,-85.0,64.937,64.937,72.993,8.056000000000001
-65.714,-85.0,55.038999999999994,55.038999999999994,64.62,9.581
-60.0,-85.0,51.784,51.784,66.846,15.062000000000001
-54.286,-85.0,53.536,53.536,65.541,12.005
-48.571000000000005,-85.0,51.968,51.968,64.335,12.367
-42.857,-85.0,60.13,57.035,66.501,9.466000000000001
-37.143,-85.0,59.853,58.606,68.23,9.624
-31.429000000000002,-85.0,60.48,53.981,68.057,14.075999999999999
-25.714000000000002,-85.0,56.69,54.277,66.972,12.695
-20.0,-85.0,59.035,52.53,66.282,13.752
-14.286,-85.0,57.506,52.876000000000005,62.548,9.672
-8.571,-85.0,54.945,53.089,59.103,6.013999999999999
-2.8569999999999998,-85.0,57.17,50.935,58.978,8.043
2.8569999999999998,-85.0,56.217,51.78,59.961999999999996,8.182
8.571,-85.0,62.104,54.121,64.25399999999999,10.133
14.286,-85.0,57.068000000000005,56.375,63.535,7.16
20.0,-85.0,54.324,54.324,62.437,8.113
25.714000000000002,-85.0,54.137,52.464,59.542,7.077999999999999
31.429000000000002,-85.0,56.995,50.638000000000005,60.156000000000006,9.517999999999999
37.143,-85.0,55.052,52.088,61.292,9.204
42.857,-85.0,56.048,54.119,56.513999999999996,2.395
48.571000000000005,-85.0,60.39,51.53,60.39,8.86
54.286,-85.0,55.763000000000005,51.373000000000005,57.023,5.65
60.0,-85.0,52.67100000000001,49.736000000000004,56.861999999999995,7.126
65.714,-85.0,51.708999999999996,47.28,56.148999999999994,8.869
71.429,-85.0,54.801,54.158,54.801,0.643
77.143,-85.0,56.581,55.466,57.494,2.028
